frame,x,y,z,rx,ry,rz
frame_000000.png,0.0,0.0,0.0,0.0,0.0,0.0
frame_000001.png,0.04566968232393265,0.06433078646659851,-0.07662227004766464,-0.08134873956441879,-0.0919993668794632,0.05099821463227272
frame_000002.png,0.0965801477432251,0.12853401899337769,-0.15397986769676208,-0.16712680459022522,-0.18538233637809753,0.09974630177021027
frame_000003.png,0.1526636928319931,0.19670164585113525,-0.2338293194770813,-0.2540505528450012,-0.27976691722869873,0.14742107689380646
frame_000004.png,0.2125464677810669,0.26735633611679077,-0.31592684984207153,-0.3384854793548584,-0.3749215602874756,0.19554798305034637
frame_000005.png,0.2740921378135681,0.33977213501930237,-0.4001316428184509,-0.41891157627105713,-0.4720563292503357,0.24415987730026245
frame_000006.png,0.33685123920440674,0.4123786389827728,-0.48841094970703125,-0.495358943939209,-0.5707844495773315,0.29281002283096313
frame_000007.png,0.4012759327888489,0.48443785309791565,-0.5800377130508423,-0.5687766671180725,-0.6715793609619141,0.33952784538269043
frame_000008.png,0.4666441082954407,0.5558546781539917,-0.6737648248672485,-0.6383724808692932,-0.7750483751296997,0.38537323474884033
frame_000009.png,0.531656801700592,0.6278246641159058,-0.7689346671104431,-0.7054042816162109,-0.880407452583313,0.43086397647857666
frame_000010.png,0.5978536605834961,0.7011213898658752,-0.8651553988456726,-0.7720237970352173,-0.9877444505691528,0.4756201207637787
frame_000011.png,0.665540337562561,0.7753725051879883,-0.9629265069961548,-0.8383439183235168,-1.0983222723007202,0.5207152962684631
frame_000012.png,0.7348379492759705,0.8507281541824341,-1.0614930391311646,-0.9035177230834961,-1.2140798568725586,0.5655459761619568
frame_000013.png,0.8055799007415771,0.9266077280044556,-1.1598893404006958,-0.967943549156189,-1.3346915245056152,0.6121136546134949
frame_000014.png,0.8778825998306274,1.003701090812683,-1.2577579021453857,-1.0322245359420776,-1.456790804862976,0.6610016226768494
frame_000015.png,0.950488805770874,1.081737756729126,-1.3548320531845093,-1.0969876050949097,-1.5796518325805664,0.7103220820426941
frame_000016.png,1.0235596895217896,1.1604732275009155,-1.454018235206604,-1.162888765335083,-1.7026903629302979,0.7593199014663696
frame_000017.png,1.0990344285964966,1.2401328086853027,-1.553889274597168,-1.2317100763320923,-1.8245104551315308,0.8090164661407471
frame_000018.png,1.1754924058914185,1.3205457925796509,-1.655321717262268,-1.3031412363052368,-1.943041443824768,0.8626108765602112
frame_000019.png,1.2514721155166626,1.4003299474716187,-1.7576189041137695,-1.379106044769287,-2.058598041534424,0.9185501933097839
frame_000020.png,1.3265165090560913,1.479821801185608,-1.8603957891464233,-1.4588932991027832,-2.1718435287475586,0.9765451550483704
frame_000021.png,1.3999900817871094,1.557969331741333,-1.961966633796692,-1.5427063703536987,-2.282409191131592,1.0345678329467773
frame_000022.png,1.473382592201233,1.6340311765670776,-2.063763380050659,-1.629709005355835,-2.3906056880950928,1.0906990766525269
frame_000023.png,1.5468007326126099,1.7088316679000854,-2.1661057472229004,-1.7198173999786377,-2.497943639755249,1.1460992097854614
frame_000024.png,1.6199538707733154,1.780070185661316,-2.2674050331115723,-1.8124134540557861,-2.605001449584961,1.199259877204895
frame_000025.png,1.6939404010772705,1.8476333618164062,-2.37026047706604,-1.9076610803604126,-2.710500955581665,1.252578616142273
frame_000026.png,1.7686036825180054,1.9147026538848877,-2.472348690032959,-2.005284070968628,-2.812241315841675,1.3071177005767822
frame_000027.png,1.843964695930481,1.9792863130569458,-2.572765827178955,-2.1036746501922607,-2.9132578372955322,1.3628662824630737
frame_000028.png,1.9200139045715332,2.041259765625,-2.6720099449157715,-2.2031302452087402,-3.0114798545837402,1.4211146831512451
frame_000029.png,1.998497486114502,2.102191209793091,-2.7704451084136963,-2.3024466037750244,-3.1072232723236084,1.4807895421981812
frame_000030.png,2.080371856689453,2.164179801940918,-2.8687779903411865,-2.399109363555908,-3.2020246982574463,1.5413818359375
frame_000031.png,2.1655683517456055,2.226901054382324,-2.964827299118042,-2.494420051574707,-3.296466827392578,1.6036206483840942
frame_000032.png,2.252889633178711,2.2907347679138184,-3.057798385620117,-2.5877466201782227,-3.39182448387146,1.6667041778564453
frame_000033.png,2.342979669570923,2.355365514755249,-3.1500320434570312,-2.6775927543640137,-3.487643241882324,1.7288997173309326
frame_000034.png,2.435109853744507,2.420994520187378,-3.2405014038085938,-2.7651970386505127,-3.5837409496307373,1.7900643348693848
frame_000035.png,2.528322696685791,2.486666440963745,-3.332350015640259,-2.8504891395568848,-3.6798670291900635,1.8518471717834473
frame_000036.png,2.622093439102173,2.552581548690796,-3.4239096641540527,-2.9344840049743652,-3.776951551437378,1.9153677225112915
frame_000037.png,2.714885950088501,2.619039535522461,-3.5133025646209717,-3.0201895236968994,-3.875016212463379,1.9792879819869995
frame_000038.png,2.8055343627929688,2.6865904331207275,-3.6010119915008545,-3.1069393157958984,-3.972776174545288,2.0418739318847656
frame_000039.png,2.8946423530578613,2.7563188076019287,-3.6878480911254883,-3.1960108280181885,-4.068777084350586,2.102752447128296
frame_000040.png,2.9828386306762695,2.8273415565490723,-3.7742679119110107,-3.2874531745910645,-4.162683963775635,2.162245750427246
frame_000041.png,3.071762800216675,2.8998188972473145,-3.858916759490967,-3.37776780128479,-4.255430698394775,2.220710039138794
frame_000042.png,3.1605045795440674,2.9748356342315674,-3.9397199153900146,-3.4668610095977783,-4.349874019622803,2.2789924144744873
frame_000043.png,3.2496440410614014,3.048990249633789,-4.016448020935059,-3.5578250885009766,-4.446533203125,2.337249517440796
frame_000044.png,3.339768409729004,3.120729684829712,-4.08998966217041,-3.6517703533172607,-4.54328727722168,2.3970530033111572
frame_000045.png,3.4311561584472656,3.189350128173828,-4.160516738891602,-3.7451345920562744,-4.640731334686279,2.4575865268707275
frame_000046.png,3.522603988647461,3.2552833557128906,-4.228975296020508,-3.839676856994629,-4.738687992095947,2.5166568756103516
frame_000047.png,3.6153488159179688,3.318474292755127,-4.297863006591797,-3.9344820976257324,-4.836338520050049,2.5748047828674316
frame_000048.png,3.7094554901123047,3.381669759750366,-4.370283126831055,-4.026953220367432,-4.934153079986572,2.6331093311309814
frame_000049.png,3.8063111305236816,3.4455726146698,-4.4449143409729,-4.1200056076049805,-5.032195568084717,2.6930370330810547
frame_000050.png,3.9054343700408936,3.511927604675293,-4.522224426269531,-4.214785575866699,-5.129600524902344,2.7549426555633545
frame_000051.png,4.0060343742370605,3.578575849533081,-4.598663806915283,-4.314214706420898,-5.227546215057373,2.8176844120025635
frame_000052.png,4.107644081115723,3.6434381008148193,-4.673971652984619,-4.417247772216797,-5.328362464904785,2.8814949989318848
frame_000053.png,4.209503650665283,3.70574688911438,-4.748413562774658,-4.52435827255249,-5.431840419769287,2.9453625679016113
frame_000054.png,4.311337947845459,3.7654521465301514,-4.823840141296387,-4.633562088012695,-5.536007404327393,3.00889253616333
frame_000055.png,4.412876605987549,3.8248162269592285,-4.898906707763672,-4.745440483093262,-5.638063430786133,3.0715177059173584
frame_000056.png,4.513553619384766,3.88372540473938,-4.973354339599609,-4.856438159942627,-5.736706733703613,3.134955406188965
frame_000057.png,4.613149166107178,3.942335605621338,-5.047562599182129,-4.966592311859131,-5.83359432220459,3.198786735534668
frame_000058.png,4.712807655334473,4.001842498779297,-5.120835781097412,-5.077150821685791,-5.929542064666748,3.2618188858032227
frame_000059.png,4.812556266784668,4.063387870788574,-5.192609786987305,-5.187405586242676,-6.026543140411377,3.3213837146759033
frame_000060.png,4.910768508911133,4.12673807144165,-5.263863563537598,-5.296629905700684,-6.126486301422119,3.3799538612365723
frame_000061.png,5.0059051513671875,4.189640045166016,-5.333215236663818,-5.406182289123535,-6.226723670959473,3.4387614727020264
frame_000062.png,5.09916353225708,4.252389430999756,-5.402882099151611,-5.511876583099365,-6.326688289642334,3.4983479976654053
frame_000063.png,5.190725326538086,4.3133544921875,-5.471162796020508,-5.615096092224121,-6.423736095428467,3.5592875480651855
frame_000064.png,5.280057907104492,4.3742194175720215,-5.5398850440979,-5.71737003326416,-6.516751289367676,3.620063543319702
frame_000065.png,5.369018077850342,4.435035705566406,-5.610261917114258,-5.82037878036499,-6.607605934143066,3.6792807579040527
frame_000066.png,5.459671974182129,4.494392395019531,-5.68144416809082,-5.923574447631836,-6.699024200439453,3.7371439933776855
frame_000067.png,5.552109241485596,4.552915096282959,-5.7535529136657715,-6.028637409210205,-6.790184497833252,3.792022943496704
frame_000068.png,5.645714282989502,4.611015319824219,-5.827260494232178,-6.134958267211914,-6.881709098815918,3.8446033000946045
frame_000069.png,5.741579055786133,4.668834686279297,-5.903261661529541,-6.243460655212402,-6.974231243133545,3.8962981700897217
frame_000070.png,5.838388442993164,4.72561502456665,-5.982044219970703,-6.3554768562316895,-7.065245151519775,3.947737455368042
frame_000071.png,5.934961795806885,4.78220272064209,-6.061157703399658,-6.468505859375,-7.156448841094971,4.000098705291748
frame_000072.png,6.02952766418457,4.839089393615723,-6.139657974243164,-6.579916000366211,-7.248523712158203,4.052841663360596
frame_000073.png,6.1230316162109375,4.897244453430176,-6.219813346862793,-6.689175128936768,-7.341095924377441,4.105650424957275
frame_000074.png,6.217808246612549,4.9550089836120605,-6.302067279815674,-6.796867847442627,-7.434677600860596,4.159005165100098
frame_000075.png,6.313515663146973,5.011395454406738,-6.386204242706299,-6.905771732330322,-7.526181221008301,4.212508201599121
frame_000076.png,6.409844398498535,5.067026138305664,-6.471825122833252,-7.011865615844727,-7.615254878997803,4.26429557800293
frame_000077.png,6.507646083831787,5.122468948364258,-6.560750484466553,-7.117437362670898,-7.700492858886719,4.3127899169921875
frame_000078.png,6.6071648597717285,5.177892208099365,-6.651038646697998,-7.22479248046875,-7.782738208770752,4.3597092628479
frame_000079.png,6.70864725112915,5.232634544372559,-6.7407121658325195,-7.336095333099365,-7.863554000854492,4.405827045440674
frame_000080.png,6.809301376342773,5.287608623504639,-6.8311076164245605,-7.445188999176025,-7.947328090667725,4.451120853424072
frame_000081.png,6.908350467681885,5.343625068664551,-6.921701908111572,-7.550731182098389,-8.034836769104004,4.4961442947387695
frame_000082.png,7.006572723388672,5.399312496185303,-7.011425971984863,-7.654576301574707,-8.126971244812012,4.540948867797852
frame_000083.png,7.103245258331299,5.453948974609375,-7.100723743438721,-7.754709720611572,-8.224757194519043,4.585287570953369
frame_000084.png,7.198877811431885,5.506770133972168,-7.188472270965576,-7.851014137268066,-8.325745582580566,4.6301655769348145
frame_000085.png,7.294830322265625,5.559815883636475,-7.2763237953186035,-7.944781303405762,-8.430078506469727,4.675244331359863
